YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,6,29,7,19790,N177DN,12478,14771,1955,27,27,1,1,0,,0,,,,,
2025,6,29,7,19790,N308DN,12478,11697,1955,152,152,1,10,0,,0,27,0,0,0,76
2025,6,29,7,19790,N852DN,12478,11292,1955,-5,0,0,-1,0,,0,,,,,
2025,6,29,7,19805,N116AN,12478,14771,2000,-2,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N3267J,12478,10693,2000,432,432,1,12,0,,0,390,0,0,0,0
2025,6,29,7,20409,N634JB,12478,14254,2006,3,3,0,0,0,,0,,,,,
2025,6,29,7,19790,N365DN,12478,13204,2010,17,17,1,1,0,,0,,,,,
2025,6,29,7,19790,N830DN,12478,13303,2015,-4,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N789JB,12478,11292,2020,92,92,1,6,0,,0,12,0,0,0,37
2025,6,29,7,19790,N527DE,12478,14679,2025,-3,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N568JB,12478,11697,2025,7,7,0,0,0,,0,,,,,
2025,6,29,7,19930,N285AK,12478,14771,2029,30,30,1,2,0,,0,,,,,
2025,6,29,7,20409,N796JB,12478,14492,2029,86,86,1,5,0,,0,62,0,0,0,0
2025,6,29,7,19805,N934NN,12478,13303,2030,95,95,1,6,0,,0,0,0,0,0,81
2025,6,29,7,20452,N411YX,12478,12339,2030,79,79,1,5,0,,0,0,0,0,0,53
2025,6,29,7,20452,N412YX,12478,14122,2030,9,9,0,0,0,,0,,,,,
2025,6,29,7,19790,N536DN,12478,14107,2035,20,20,1,1,0,,0,,,,,
2025,6,29,7,20452,N234JQ,12478,11066,2038,-2,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N559JB,12478,14843,2040,27,27,1,1,0,,0,15,0,0,0,0
2025,6,29,7,20409,N593JB,12478,13204,2040,25,25,1,1,0,,0,,,,,
2025,6,29,7,20409,N935JB,12478,12892,2045,-4,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N621JB,12478,10397,2055,1,1,0,0,0,,0,,,,,
2025,6,29,7,20452,N114HQ,12478,10721,2055,91,91,1,6,0,,0,7,0,0,0,71
2025,6,29,7,19790,N113DQ,12478,10721,2100,187,187,1,12,0,,0,12,0,0,0,134
2025,6,29,7,19805,N106NN,12478,12892,2100,44,44,1,2,0,,0,,,,,
2025,6,29,7,20452,N429YX,12478,14492,2100,-7,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N3123J,12478,11697,2115,40,40,1,2,0,,0,24,0,0,0,0
2025,6,29,7,19790,N584DN,12478,12889,2120,5,5,0,0,0,,0,,,,,
2025,6,29,7,20409,N655JB,12478,15304,2120,326,326,1,12,0,,0,12,0,0,0,290
2025,6,29,7,19790,N1605,12478,12892,2125,39,39,1,2,0,,0,,,,,
2025,6,29,7,19790,N505DZ,12478,10397,2130,38,38,1,2,0,,0,,,,,
2025,6,29,7,20409,N3142J,12478,11278,2130,92,92,1,6,0,,0,6,0,0,0,64
2025,6,29,7,20409,N3152J,12478,13930,2130,3,3,0,0,0,,0,,,,,
2025,6,29,7,20452,N426YX,12478,11278,2130,105,105,1,7,0,,0,15,0,0,0,79
2025,6,29,7,20409,N3023J,12478,11433,2140,28,28,1,1,0,,0,,,,,
2025,6,29,7,20409,N948JB,12478,13204,2140,12,12,0,0,0,,0,,,,,
2025,6,29,7,20409,N988JT,12478,12892,2145,11,11,0,0,0,,0,,,,,
2025,6,29,7,20452,N220JQ,12478,11278,2145,11,11,0,0,0,,0,,,,,
2025,6,29,7,20409,N3185J,12478,14576,2150,0,0,0,0,0,,0,,,,,
2025,6,29,7,19790,N722TW,12478,14771,2155,2,2,0,0,0,,0,,,,,
2025,6,29,7,19805,N826NN,12478,10423,2155,63,63,1,4,0,,0,4,0,0,0,28
2025,6,29,7,20409,N3157J,12478,14122,2159,73,73,1,4,0,,0,14,0,0,0,47
